Asthma and the Environment,neighborhood,% reported
Asthma and the Environment,Lower Manhattan,13.9
Asthma and the Environment,Long Island City - Astoria,17.9
Asthma and the Environment,West Queens,14.3
Asthma and the Environment,Flushing - Clearview,13.4
Asthma and the Environment,Bayside - Little Neck,11.9
Asthma and the Environment,Ridgewood - Forest Hills,20.2
Asthma and the Environment,Fresh Meadows,13.3
Asthma and the Environment,Southwest Queens,20.2
Asthma and the Environment,Jamaica,37.5
Asthma and the Environment,Southeast Queens,32.6
Asthma and the Environment,Rockaways,44.4
Asthma and the Environment,Port Richmond,26.7
Asthma and the Environment,Stapleton - St. George,16.8
Asthma and the Environment,Willowbrook,13.2
Asthma and the Environment,South Beach - Tottenville,7.9
Asthma and the Environment,Kingsbridge - Riverdale,29.2
Asthma and the Environment,Northeast Bronx,40.3
Asthma and the Environment,Fordham - Bronx Pk,57.2
Asthma and the Environment,Pelham - Throgs Neck,43.7
Asthma and the Environment,Crotona -Tremont,52.5
Asthma and the Environment,High Bridge - Morrisania,43.7
Asthma and the Environment,Hunts Point - Mott Haven,64
Asthma and the Environment,Greenpoint,9.1
Asthma and the Environment,Downtown - Heights - Slope,18.8
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,45.9
Asthma and the Environment,East New York,45.4
Asthma and the Environment,Sunset Park,9.2
Asthma and the Environment,Borough Park,3.4
Asthma and the Environment,East Flatbush - Flatbush,27.2
Asthma and the Environment,Canarsie - Flatlands,20.4
Asthma and the Environment,Bensonhurst - Bay Ridge,3
Asthma and the Environment,Coney Island - Sheepshead Bay,10
Asthma and the Environment,Williamsburg - Bushwick,54.1
Asthma and the Environment,Washington Heights,22.2
Asthma and the Environment,Central Harlem - Morningside Heights,48.1
Asthma and the Environment,East Harlem,65.1
Asthma and the Environment,Upper West Side,14.8
Asthma and the Environment,Upper East Side,10.3
Asthma and the Environment,Chelsea - Clinton,18
Asthma and the Environment,Gramercy Park - Murray Hill,8.9
Asthma and the Environment,Greenwich Village - SoHo,11.4
Asthma and the Environment,Union Square - Lower East Side,10.6
Asthma and the Environment,Lower Manhattan,NA
Asthma and the Environment,Long Island City - Astoria,20.6
Asthma and the Environment,West Queens,12.3
Asthma and the Environment,Flushing - Clearview,13
Asthma and the Environment,Bayside - Little Neck,10.2
Asthma and the Environment,Ridgewood - Forest Hills,24.5
Asthma and the Environment,Fresh Meadows,12.5
Asthma and the Environment,Southwest Queens,18.4
Asthma and the Environment,Jamaica,27.8
Asthma and the Environment,Southeast Queens,27.1
Asthma and the Environment,Rockaways,39.3
Asthma and the Environment,Port Richmond,19.7
Asthma and the Environment,Stapleton - St. George,23
Asthma and the Environment,Willowbrook,6.7
Asthma and the Environment,South Beach - Tottenville,8.2
Asthma and the Environment,Kingsbridge - Riverdale,26.5
Asthma and the Environment,Northeast Bronx,44.7
Asthma and the Environment,Fordham - Bronx Pk,56.7
Asthma and the Environment,Pelham - Throgs Neck,51
Asthma and the Environment,Crotona -Tremont,52.2
Asthma and the Environment,High Bridge - Morrisania,57
Asthma and the Environment,Hunts Point - Mott Haven,74.3
Asthma and the Environment,Greenpoint,9.4
Asthma and the Environment,Downtown - Heights - Slope,29
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,49.8
Asthma and the Environment,East New York,41.3
Asthma and the Environment,Sunset Park,12.6
Asthma and the Environment,Borough Park,6.7
Asthma and the Environment,East Flatbush - Flatbush,31.3
Asthma and the Environment,Canarsie - Flatlands,21.6
Asthma and the Environment,Bensonhurst - Bay Ridge,6.1
Asthma and the Environment,Coney Island - Sheepshead Bay,9.2
Asthma and the Environment,Williamsburg - Bushwick,52
Asthma and the Environment,Washington Heights,21.8
Asthma and the Environment,Central Harlem - Morningside Heights,46.9
Asthma and the Environment,East Harlem,68.1
Asthma and the Environment,Upper West Side,20.3
Asthma and the Environment,Upper East Side,9.2
Asthma and the Environment,Chelsea - Clinton,14.2
Asthma and the Environment,Gramercy Park - Murray Hill,5.6
Asthma and the Environment,Greenwich Village - SoHo,5.8
Asthma and the Environment,Union Square - Lower East Side,16.1
Asthma and the Environment,Lower Manhattan,12.6
Asthma and the Environment,Long Island City - Astoria,20.4
Asthma and the Environment,West Queens,11.7
Asthma and the Environment,Flushing - Clearview,12.2
Asthma and the Environment,Bayside - Little Neck,6.4
Asthma and the Environment,Ridgewood - Forest Hills,18.3
Asthma and the Environment,Fresh Meadows,16
Asthma and the Environment,Southwest Queens,13.8
Asthma and the Environment,Jamaica,21.9
Asthma and the Environment,Southeast Queens,21.4
Asthma and the Environment,Rockaways,30.5
Asthma and the Environment,Port Richmond,22
Asthma and the Environment,Stapleton - St. George,16.2
Asthma and the Environment,Willowbrook,7.5
Asthma and the Environment,South Beach - Tottenville,7.1
Asthma and the Environment,Kingsbridge - Riverdale,22.4
Asthma and the Environment,Northeast Bronx,47
Asthma and the Environment,Fordham - Bronx Pk,60.8
Asthma and the Environment,Pelham - Throgs Neck,55.4
Asthma and the Environment,Crotona -Tremont,59.4
Asthma and the Environment,High Bridge - Morrisania,62.5
Asthma and the Environment,Hunts Point - Mott Haven,87.6
Asthma and the Environment,Greenpoint,10.3
Asthma and the Environment,Downtown - Heights - Slope,26.9
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,55.7
Asthma and the Environment,East New York,41.3
Asthma and the Environment,Sunset Park,15.1
Asthma and the Environment,Borough Park,6.2
Asthma and the Environment,East Flatbush - Flatbush,35.1
Asthma and the Environment,Canarsie - Flatlands,26.9
Asthma and the Environment,Bensonhurst - Bay Ridge,7.1
Asthma and the Environment,Coney Island - Sheepshead Bay,11.7
Asthma and the Environment,Williamsburg - Bushwick,56.4
Asthma and the Environment,Washington Heights,21.2
Asthma and the Environment,Central Harlem - Morningside Heights,62.1
Asthma and the Environment,East Harlem,62.4
Asthma and the Environment,Upper West Side,14.5
Asthma and the Environment,Upper East Side,9.1
Asthma and the Environment,Chelsea - Clinton,21
Asthma and the Environment,Gramercy Park - Murray Hill,12.8
Asthma and the Environment,Greenwich Village - SoHo,5.7
Asthma and the Environment,Union Square - Lower East Side,19.8
Asthma and the Environment,Lower Manhattan,9.9
Asthma and the Environment,Long Island City - Astoria,16.6
Asthma and the Environment,West Queens,14
Asthma and the Environment,Flushing - Clearview,8.2
Asthma and the Environment,Bayside - Little Neck,10.3
Asthma and the Environment,Ridgewood - Forest Hills,23.2
Asthma and the Environment,Fresh Meadows,15.3
Asthma and the Environment,Southwest Queens,18.1
Asthma and the Environment,Jamaica,21
Asthma and the Environment,Southeast Queens,28.9
Asthma and the Environment,Rockaways,19.9
Asthma and the Environment,Port Richmond,32.6
Asthma and the Environment,Stapleton - St. George,12.9
Asthma and the Environment,Willowbrook,6.8
Asthma and the Environment,South Beach - Tottenville,7.2
Asthma and the Environment,Kingsbridge - Riverdale,38.3
Asthma and the Environment,Northeast Bronx,52
Asthma and the Environment,Fordham - Bronx Pk,64
Asthma and the Environment,Pelham - Throgs Neck,46
Asthma and the Environment,Crotona -Tremont,63.9
Asthma and the Environment,High Bridge - Morrisania,64.9
Asthma and the Environment,Hunts Point - Mott Haven,82.1
Asthma and the Environment,Greenpoint,6.4
Asthma and the Environment,Downtown - Heights - Slope,22.9
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,54.1
Asthma and the Environment,East New York,48.5
Asthma and the Environment,Sunset Park,19.1
Asthma and the Environment,Borough Park,4.4
Asthma and the Environment,East Flatbush - Flatbush,41.8
Asthma and the Environment,Canarsie - Flatlands,24.9
Asthma and the Environment,Bensonhurst - Bay Ridge,5.3
Asthma and the Environment,Coney Island - Sheepshead Bay,9.6
Asthma and the Environment,Williamsburg - Bushwick,43.3
Asthma and the Environment,Washington Heights,24.6
Asthma and the Environment,Central Harlem - Morningside Heights,60.1
Asthma and the Environment,East Harlem,70.4
Asthma and the Environment,Upper West Side,9.4
Asthma and the Environment,Upper East Side,6.5
Asthma and the Environment,Chelsea - Clinton,13.8
Asthma and the Environment,Gramercy Park - Murray Hill,12.6
Asthma and the Environment,Greenwich Village - SoHo,NA
Asthma and the Environment,Union Square - Lower East Side,21.8
Asthma and the Environment,Lower Manhattan,7.3
Asthma and the Environment,Long Island City - Astoria,18.8
Asthma and the Environment,West Queens,15.2
Asthma and the Environment,Flushing - Clearview,13.1
Asthma and the Environment,Bayside - Little Neck,7.1
Asthma and the Environment,Ridgewood - Forest Hills,12.6
Asthma and the Environment,Fresh Meadows,14.6
Asthma and the Environment,Southwest Queens,17
Asthma and the Environment,Jamaica,24.8
Asthma and the Environment,Southeast Queens,26.7
Asthma and the Environment,Rockaways,18.2
Asthma and the Environment,Port Richmond,25.3
Asthma and the Environment,Stapleton - St. George,20.9
Asthma and the Environment,Willowbrook,0.8
Asthma and the Environment,South Beach - Tottenville,6.9
Asthma and the Environment,Kingsbridge - Riverdale,38.5
Asthma and the Environment,Northeast Bronx,56.6
Asthma and the Environment,Fordham - Bronx Pk,74.5
Asthma and the Environment,Pelham - Throgs Neck,48.9
Asthma and the Environment,Crotona -Tremont,67.6
Asthma and the Environment,High Bridge - Morrisania,69.3
Asthma and the Environment,Hunts Point - Mott Haven,82
Asthma and the Environment,Greenpoint,10.9
Asthma and the Environment,Downtown - Heights - Slope,20.1
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,59.9
Asthma and the Environment,East New York,51.5
Asthma and the Environment,Sunset Park,12
Asthma and the Environment,Borough Park,5.3
Asthma and the Environment,East Flatbush - Flatbush,49.7
Asthma and the Environment,Canarsie - Flatlands,20.8
Asthma and the Environment,Bensonhurst - Bay Ridge,2.4
Asthma and the Environment,Coney Island - Sheepshead Bay,9.5
Asthma and the Environment,Williamsburg - Bushwick,40.7
Asthma and the Environment,Washington Heights,32.8
Asthma and the Environment,Central Harlem - Morningside Heights,51
Asthma and the Environment,East Harlem,66.4
Asthma and the Environment,Upper West Side,13.8
Asthma and the Environment,Upper East Side,10.8
Asthma and the Environment,Chelsea - Clinton,27.3
Asthma and the Environment,Gramercy Park - Murray Hill,14.2
Asthma and the Environment,Greenwich Village - SoHo,7.4
Asthma and the Environment,Union Square - Lower East Side,19.3
Asthma and the Environment,Lower Manhattan,19
Asthma and the Environment,Long Island City - Astoria,22.8
Asthma and the Environment,West Queens,19.8
Asthma and the Environment,Flushing - Clearview,9.5
Asthma and the Environment,Bayside - Little Neck,10.2
Asthma and the Environment,Ridgewood - Forest Hills,13.5
Asthma and the Environment,Fresh Meadows,9.7
Asthma and the Environment,Southwest Queens,21.2
Asthma and the Environment,Jamaica,25.3
Asthma and the Environment,Southeast Queens,31.9
Asthma and the Environment,Rockaways,23
Asthma and the Environment,Port Richmond,32.3
Asthma and the Environment,Stapleton - St. George,22.1
Asthma and the Environment,Willowbrook,6.1
Asthma and the Environment,South Beach - Tottenville,6.1
Asthma and the Environment,Kingsbridge - Riverdale,24.1
Asthma and the Environment,Northeast Bronx,48.8
Asthma and the Environment,Fordham - Bronx Pk,61.9
Asthma and the Environment,Pelham - Throgs Neck,51.1
Asthma and the Environment,Crotona -Tremont,50.3
Asthma and the Environment,High Bridge - Morrisania,65.2
Asthma and the Environment,Hunts Point - Mott Haven,73.1
Asthma and the Environment,Greenpoint,5.6
Asthma and the Environment,Downtown - Heights - Slope,20.5
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,49.4
Asthma and the Environment,East New York,43.4
Asthma and the Environment,Sunset Park,10
Asthma and the Environment,Borough Park,3.2
Asthma and the Environment,East Flatbush - Flatbush,45.8
Asthma and the Environment,Canarsie - Flatlands,25.7
Asthma and the Environment,Bensonhurst - Bay Ridge,4.8
Asthma and the Environment,Coney Island - Sheepshead Bay,8.2
Asthma and the Environment,Williamsburg - Bushwick,32.1
Asthma and the Environment,Washington Heights,26.9
Asthma and the Environment,Central Harlem - Morningside Heights,46.9
Asthma and the Environment,East Harlem,66.5
Asthma and the Environment,Upper West Side,8.7
Asthma and the Environment,Upper East Side,9.7
Asthma and the Environment,Chelsea - Clinton,14.8
Asthma and the Environment,Gramercy Park - Murray Hill,7
Asthma and the Environment,Greenwich Village - SoHo,5.5
Asthma and the Environment,Union Square - Lower East Side,21.5
Asthma and the Environment,Lower Manhattan,11.6
Asthma and the Environment,Long Island City - Astoria,11.3
Asthma and the Environment,West Queens,14
Asthma and the Environment,Flushing - Clearview,10.7
Asthma and the Environment,Bayside - Little Neck,8.6
Asthma and the Environment,Ridgewood - Forest Hills,12
Asthma and the Environment,Fresh Meadows,20
Asthma and the Environment,Southwest Queens,16.7
Asthma and the Environment,Jamaica,24.4
Asthma and the Environment,Southeast Queens,18.5
Asthma and the Environment,Rockaways,21.3
Asthma and the Environment,Port Richmond,27.9
Asthma and the Environment,Stapleton - St. George,15.6
Asthma and the Environment,Willowbrook,5.4
Asthma and the Environment,South Beach - Tottenville,8.7
Asthma and the Environment,Kingsbridge - Riverdale,23.2
Asthma and the Environment,Northeast Bronx,42.4
Asthma and the Environment,Fordham - Bronx Pk,63.6
Asthma and the Environment,Pelham - Throgs Neck,42.7
